2021-03-30 17:23:22 INFO  [hu.GenerateStructureFromMysql:58] 从数据库中拿到一条记录：MysqlEntity{columnName=`description`, dataType=varchar, characterSetName=utf8mb4, columnKey=}
2021-03-30 17:23:22 INFO  [hu.GenerateStructureFromMysql:58] 从数据库中拿到一条记录：MysqlEntity{columnName=`ip`, dataType=varchar, characterSetName=utf8mb4, columnKey=}
2021-03-30 17:23:22 INFO  [hu.GenerateStructureFromMysql:58] 从数据库中拿到一条记录：MysqlEntity{columnName=`mac`, dataType=varchar, characterSetName=utf8mb4, columnKey=}
2021-03-30 17:23:22 INFO  [hu.GenerateStructureFromMysql:58] 从数据库中拿到一条记录：MysqlEntity{columnName=`create_by`, dataType=char, characterSetName=utf8mb4, columnKey=}
2021-03-30 17:23:22 INFO  [hu.GenerateStructureFromMysql:58] 从数据库中拿到一条记录：MysqlEntity{columnName=`create_time`, dataType=datetime, characterSetName=null, columnKey=}
2021-03-30 17:23:22 INFO  [hu.GenerateStructureFromMysql:58] 从数据库中拿到一条记录：MysqlEntity{columnName=`construction_history_id`, dataType=varchar, characterSetName=utf8, columnKey=PRI}
2021-03-30 17:23:22 INFO  [hu.GenerateStructureFromMysql:58] 从数据库中拿到一条记录：MysqlEntity{columnName=`device_id`, dataType=int, characterSetName=null, columnKey=}
2021-03-30 17:23:22 INFO  [hu.GenerateStructureFromMysql:58] 从数据库中拿到一条记录：MysqlEntity{columnName=`org_code`, dataType=varchar, characterSetName=utf8, columnKey=}
2021-03-30 17:23:22 INFO  [hu.GenerateStructureFromMysql:58] 从数据库中拿到一条记录：MysqlEntity{columnName=`domain_id`, dataType=varchar, characterSetName=utf8, columnKey=}
2021-03-30 17:23:22 INFO  [hu.GenerateStructureFromMysql:58] 从数据库中拿到一条记录：MysqlEntity{columnName=`construction_date`, dataType=varchar, characterSetName=utf8, columnKey=}
2021-03-30 17:23:22 INFO  [hu.GenerateStructureFromMysql:58] 从数据库中拿到一条记录：MysqlEntity{columnName=`province`, dataType=int, characterSetName=null, columnKey=}
2021-03-30 17:23:22 INFO  [hu.GenerateStructureFromMysql:58] 从数据库中拿到一条记录：MysqlEntity{columnName=`city`, dataType=int, characterSetName=null, columnKey=}
2021-03-30 17:23:22 INFO  [hu.GenerateStructureFromMysql:58] 从数据库中拿到一条记录：MysqlEntity{columnName=`district`, dataType=int, characterSetName=null, columnKey=}
2021-03-30 17:23:22 INFO  [hu.GenerateStructureFromMysql:58] 从数据库中拿到一条记录：MysqlEntity{columnName=`timestamp`, dataType=timestamp, characterSetName=null, columnKey=}
2021-03-30 17:23:22 INFO  [hu.GenerateStructureFromMysql:58] 从数据库中拿到一条记录：MysqlEntity{columnName=`id`, dataType=int, characterSetName=null, columnKey=PRI}
2021-03-30 17:23:22 INFO  [hu.GenerateStructureFromMysql:58] 从数据库中拿到一条记录：MysqlEntity{columnName=`device_id`, dataType=varchar, characterSetName=utf8, columnKey=MUL}
2021-03-30 17:23:22 INFO  [hu.GenerateStructureFromMysql:58] 从数据库中拿到一条记录：MysqlEntity{columnName=`template_id`, dataType=varchar, characterSetName=utf8, columnKey=}
2021-03-30 17:23:22 INFO  [hu.GenerateStructureFromMysql:58] 从数据库中拿到一条记录：MysqlEntity{columnName=`status`, dataType=smallint, characterSetName=null, columnKey=}
2021-03-30 17:23:22 INFO  [hu.GenerateStructureFromMysql:58] 从数据库中拿到一条记录：MysqlEntity{columnName=`start_time`, dataType=datetime, characterSetName=null, columnKey=}
2021-03-30 17:23:22 INFO  [hu.GenerateStructureFromMysql:58] 从数据库中拿到一条记录：MysqlEntity{columnName=`end_time`, dataType=datetime, characterSetName=null, columnKey=}
2021-03-30 17:23:22 INFO  [hu.GenerateStructureFromMysql:58] 从数据库中拿到一条记录：MysqlEntity{columnName=`spindle_name`, dataType=varchar, characterSetName=utf8, columnKey=}
2021-03-30 17:23:22 INFO  [hu.GenerateStructureFromMysql:58] 从数据库中拿到一条记录：MysqlEntity{columnName=`max_speed`, dataType=int, characterSetName=null, columnKey=}
2021-03-30 17:23:22 INFO  [hu.GenerateStructureFromMysql:58] 从数据库中拿到一条记录：MysqlEntity{columnName=`max_load`, dataType=float, characterSetName=null, columnKey=}
2021-03-30 17:23:22 INFO  [hu.GenerateStructureFromMysql:58] 从数据库中拿到一条记录：MysqlEntity{columnName=`max_temperature`, dataType=float, characterSetName=null, columnKey=}
2021-03-30 17:23:22 INFO  [hu.GenerateStructureFromMysql:58] 从数据库中拿到一条记录：MysqlEntity{columnName=`min_speed`, dataType=int, characterSetName=null, columnKey=}
2021-03-30 17:23:22 INFO  [hu.GenerateStructureFromMysql:58] 从数据库中拿到一条记录：MysqlEntity{columnName=`min_load`, dataType=float, characterSetName=null, columnKey=}
2021-03-30 17:23:22 INFO  [hu.GenerateStructureFromMysql:58] 从数据库中拿到一条记录：MysqlEntity{columnName=`min_temperature`, dataType=float, characterSetName=null, columnKey=}
2021-03-30 17:23:22 INFO  [hu.GenerateStructureFromMysql:58] 从数据库中拿到一条记录：MysqlEntity{columnName=`create_time`, dataType=datetime, characterSetName=null, columnKey=}
2021-03-30 17:23:22 INFO  [hu.GenerateStructureFromMysql:58] 从数据库中拿到一条记录：MysqlEntity{columnName=`id`, dataType=int, characterSetName=null, columnKey=PRI}
2021-03-30 17:23:22 INFO  [hu.GenerateStructureFromMysql:58] 从数据库中拿到一条记录：MysqlEntity{columnName=`status_code`, dataType=varchar, characterSetName=utf8mb4, columnKey=}
